"","DISTRITO","UNIDADE","AREA","ANO","MES","GESTANTES","GESTANTES_7_CONS","GEST_TODOS_TRI","GEST_ODONTO"
"1","Centro","CS AGRONÔMICA",0,2013,1,3,3,3,1
"2","Centro","CS AGRONÔMICA",0,2013,2,3,2,1,0
"3","Centro","CS AGRONÔMICA",0,2013,3,6,3,1,3
"4","Centro","CS AGRONÔMICA",0,2013,4,6,4,2,2
"5","Centro","CS AGRONÔMICA",0,2013,5,4,2,3,0
"6","Centro","CS AGRONÔMICA",0,2013,6,6,3,2,3
"7","Centro","CS AGRONÔMICA",0,2013,7,4,3,2,2
"8","Centro","CS AGRONÔMICA",0,2013,8,3,1,1,1
"9","Centro","CS AGRONÔMICA",0,2013,9,2,1,2,0
"10","Centro","CS AGRONÔMICA",0,2013,10,3,1,1,0
"11","Centro","CS AGRONÔMICA",0,2013,11,3,2,2,0
"12","Centro","CS AGRONÔMICA",0,2013,12,5,4,3,0
"13","Centro","CS AGRONÔMICA",0,2014,1,4,3,1,0
"14","Centro","CS AGRONÔMICA",0,2014,2,2,1,1,0
"15","Centro","CS AGRONÔMICA",0,2014,3,5,2,2,1
"16","Centro","CS AGRONÔMICA",0,2014,4,4,3,2,0
"17","Centro","CS AGRONÔMICA",0,2014,5,4,2,2,1
"18","Centro","CS AGRONÔMICA",0,2014,6,2,2,1,1
"19","Centro","CS AGRONÔMICA",0,2014,7,4,3,1,0
"20","Centro","CS AGRONÔMICA",0,2014,8,4,2,2,2
"21","Centro","CS AGRONÔMICA",0,2014,9,4,1,0,1
"22","Centro","CS AGRONÔMICA",0,2014,10,3,1,1,0
"23","Centro","CS AGRONÔMICA",0,2014,11,2,1,0,0
"24","Centro","CS AGRONÔMICA",0,2014,12,1,0,1,1
"25","Centro","CS AGRONÔMICA",0,2015,1,3,1,1,0
"26","Centro","CS AGRONÔMICA",0,2015,2,5,3,1,0
"27","Centro","CS AGRONÔMICA",0,2015,3,9,6,3,1
"28","Centro","CS AGRONÔMICA",0,2015,4,4,4,2,0
"29","Centro","CS AGRONÔMICA",0,2015,5,4,3,3,1
"30","Centro","CS AGRONÔMICA",0,2015,6,5,3,3,1
"31","Centro","CS AGRONÔMICA",0,2015,7,7,5,5,1
"32","Centro","CS AGRONÔMICA",0,2015,8,4,2,2,0
"33","Centro","CS AGRONÔMICA",0,2015,9,6,4,2,0
"34","Centro","CS AGRONÔMICA",0,2015,10,6,5,5,1
"35","Centro","CS AGRONÔMICA",0,2015,11,4,4,3,0
"36","Centro","CS AGRONÔMICA",0,2015,12,4,3,2,1
"37","Centro","CS AGRONÔMICA",0,2016,1,3,3,3,0
"38","Centro","CS AGRONÔMICA",0,2016,2,2,2,1,1
"39","Centro","CS AGRONÔMICA",0,2016,3,7,4,3,2
"40","Centro","CS AGRONÔMICA",0,2016,4,7,7,4,0
"41","Centro","CS AGRONÔMICA",0,2016,5,6,5,3,1
"42","Centro","CS AGRONÔMICA",0,2016,6,9,7,6,2
"43","Centro","CS AGRONÔMICA",0,2016,7,7,5,2,3
"44","Centro","CS AGRONÔMICA",0,2016,8,1,1,0,1
"45","Centro","CS AGRONÔMICA",0,2016,9,6,6,5,3
"46","Centro","CS AGRONÔMICA",0,2016,10,4,4,1,2
"47","Centro","CS AGRONÔMICA",0,2016,11,4,4,2,0
"48","Centro","CS AGRONÔMICA",0,2016,12,5,4,2,1
"49","Centro","CS AGRONÔMICA",0,2017,1,10,6,4,2
"50","Centro","CS AGRONÔMICA",0,2017,2,4,1,1,0
"51","Centro","CS AGRONÔMICA",0,2017,3,7,5,5,1
"52","Centro","CS AGRONÔMICA",0,2017,4,7,6,4,1
"53","Centro","CS AGRONÔMICA",0,2017,5,4,4,3,2
"54","Centro","CS AGRONÔMICA",0,2017,6,5,4,3,2
"55","Centro","CS AGRONÔMICA",0,2017,7,6,6,4,1
"56","Centro","CS AGRONÔMICA",0,2017,8,5,3,1,0
"57","Centro","CS AGRONÔMICA",0,2017,9,5,3,2,1
"58","Centro","CS AGRONÔMICA",0,2017,10,4,4,3,1
"59","Centro","CS AGRONÔMICA",0,2017,11,4,2,2,0
"60","Centro","CS AGRONÔMICA",0,2017,12,8,7,5,5
"61","Centro","CS AGRONÔMICA",1,2013,1,2,2,1,0
"62","Centro","CS AGRONÔMICA",1,2013,2,4,2,0,0
"63","Centro","CS AGRONÔMICA",1,2013,3,2,1,1,0
"64","Centro","CS AGRONÔMICA",1,2013,4,4,3,2,0
"65","Centro","CS AGRONÔMICA",1,2013,5,3,2,2,0
"66","Centro","CS AGRONÔMICA",1,2013,6,4,2,3,2
"67","Centro","CS AGRONÔMICA",1,2013,7,3,2,1,0
"68","Centro","CS AGRONÔMICA",1,2013,8,6,2,3,3
"69","Centro","CS AGRONÔMICA",1,2013,9,4,2,2,1
"70","Centro","CS AGRONÔMICA",1,2013,10,5,3,4,0
"71","Centro","CS AGRONÔMICA",1,2013,11,5,2,1,1
"72","Centro","CS AGRONÔMICA",1,2013,12,4,4,3,0
"73","Centro","CS AGRONÔMICA",1,2014,1,1,0,0,0
"74","Centro","CS AGRONÔMICA",1,2014,2,4,3,2,1
"75","Centro","CS AGRONÔMICA",1,2014,3,13,13,5,3
"76","Centro","CS AGRONÔMICA",1,2014,4,8,5,4,2
"77","Centro","CS AGRONÔMICA",1,2014,5,6,4,3,2
"78","Centro","CS AGRONÔMICA",1,2014,6,6,3,1,3
"79","Centro","CS AGRONÔMICA",1,2014,7,3,2,1,1
"80","Centro","CS AGRONÔMICA",1,2014,8,2,1,1,0
"81","Centro","CS AGRONÔMICA",1,2014,9,5,5,5,1
"82","Centro","CS AGRONÔMICA",1,2014,10,5,4,2,3
"83","Centro","CS AGRONÔMICA",1,2014,12,5,5,5,3
"84","Centro","CS AGRONÔMICA",1,2015,1,7,6,4,3
"85","Centro","CS AGRONÔMICA",1,2015,2,1,1,1,1
"86","Centro","CS AGRONÔMICA",1,2015,3,4,4,2,0
"87","Centro","CS AGRONÔMICA",1,2015,4,13,9,11,2
"88","Centro","CS AGRONÔMICA",1,2015,5,8,6,4,2
"89","Centro","CS AGRONÔMICA",1,2015,6,5,3,2,0
"90","Centro","CS AGRONÔMICA",1,2015,7,7,6,4,1
"91","Centro","CS AGRONÔMICA",1,2015,8,5,2,2,1
"92","Centro","CS AGRONÔMICA",1,2015,9,2,1,0,1
"93","Centro","CS AGRONÔMICA",1,2015,10,1,1,1,0
"94","Centro","CS AGRONÔMICA",1,2015,11,6,3,2,0
"95","Centro","CS AGRONÔMICA",1,2015,12,5,2,0,1
"96","Centro","CS AGRONÔMICA",1,2016,1,4,4,2,3
"97","Centro","CS AGRONÔMICA",1,2016,2,4,4,2,0
"98","Centro","CS AGRONÔMICA",1,2016,3,4,3,4,0
"99","Centro","CS AGRONÔMICA",1,2016,4,7,5,2,2
"100","Centro","CS AGRONÔMICA",1,2016,5,3,1,1,1
"101","Centro","CS AGRONÔMICA",1,2016,6,5,4,2,2
"102","Centro","CS AGRONÔMICA",1,2016,7,5,4,1,2
"103","Centro","CS AGRONÔMICA",1,2016,8,2,2,2,1
"104","Centro","CS AGRONÔMICA",1,2016,9,3,3,1,2
"105","Centro","CS AGRONÔMICA",1,2016,10,5,4,2,0
"106","Centro","CS AGRONÔMICA",1,2016,11,7,6,5,2
"107","Centro","CS AGRONÔMICA",1,2016,12,2,2,1,1
"108","Centro","CS AGRONÔMICA",1,2017,1,10,10,4,7
"109","Centro","CS AGRONÔMICA",1,2017,2,7,4,3,4
"110","Centro","CS AGRONÔMICA",1,2017,3,5,3,4,1
"111","Centro","CS AGRONÔMICA",1,2017,4,11,10,7,5
"112","Centro","CS AGRONÔMICA",1,2017,5,4,3,2,0
"113","Centro","CS AGRONÔMICA",1,2017,6,5,5,3,2
"114","Centro","CS AGRONÔMICA",1,2017,7,11,7,4,3
"115","Centro","CS AGRONÔMICA",1,2017,8,4,4,3,0
"116","Centro","CS AGRONÔMICA",1,2017,9,6,6,2,1
"117","Centro","CS AGRONÔMICA",1,2017,10,4,2,1,0
"118","Centro","CS AGRONÔMICA",1,2017,11,3,1,1,0
"119","Centro","CS AGRONÔMICA",1,2017,12,5,4,2,0
"120","Centro","CS AGRONÔMICA",2,2013,1,2,0,0,0
"121","Centro","CS AGRONÔMICA",2,2013,2,3,1,1,1
"122","Centro","CS AGRONÔMICA",2,2013,3,3,3,1,1
"123","Centro","CS AGRONÔMICA",2,2013,4,4,2,2,0
"124","Centro","CS AGRONÔMICA",2,2013,5,4,3,3,0
"125","Centro","CS AGRONÔMICA",2,2013,6,3,0,1,1
"126","Centro","CS AGRONÔMICA",2,2013,7,2,2,0,1
"127","Centro","CS AGRONÔMICA",2,2013,8,5,4,2,1
"128","Centro","CS AGRONÔMICA",2,2013,9,4,4,2,2
"129","Centro","CS AGRONÔMICA",2,2013,10,2,2,1,0
"130","Centro","CS AGRONÔMICA",2,2013,11,4,2,1,0
"131","Centro","CS AGRONÔMICA",2,2013,12,3,1,1,0
"132","Centro","CS AGRONÔMICA",2,2014,1,3,3,3,1
"133","Centro","CS AGRONÔMICA",2,2014,2,3,1,2,1
"134","Centro","CS AGRONÔMICA",2,2014,3,3,1,0,0
"135","Centro","CS AGRONÔMICA",2,2014,4,2,2,2,0
"136","Centro","CS AGRONÔMICA",2,2014,5,2,0,0,1
"137","Centro","CS AGRONÔMICA",2,2014,6,4,4,1,0
"138","Centro","CS AGRONÔMICA",2,2014,7,2,2,1,0
"139","Centro","CS AGRONÔMICA",2,2014,8,6,3,1,0
"140","Centro","CS AGRONÔMICA",2,2014,9,3,3,2,1
"141","Centro","CS AGRONÔMICA",2,2014,11,2,2,1,0
"142","Centro","CS AGRONÔMICA",2,2014,12,5,2,3,0
"143","Centro","CS AGRONÔMICA",2,2015,1,3,2,1,1
"144","Centro","CS AGRONÔMICA",2,2015,2,4,2,3,0
"145","Centro","CS AGRONÔMICA",2,2015,3,4,2,1,0
"146","Centro","CS AGRONÔMICA",2,2015,4,4,3,1,1
"147","Centro","CS AGRONÔMICA",2,2015,5,3,3,3,1
"148","Centro","CS AGRONÔMICA",2,2015,6,1,1,1,0
"149","Centro","CS AGRONÔMICA",2,2015,7,4,4,3,0
"150","Centro","CS AGRONÔMICA",2,2015,8,2,2,2,0
"151","Centro","CS AGRONÔMICA",2,2015,9,4,4,2,1
"152","Centro","CS AGRONÔMICA",2,2015,10,3,2,2,1
"153","Centro","CS AGRONÔMICA",2,2015,11,4,2,2,0
"154","Centro","CS AGRONÔMICA",2,2015,12,3,2,0,0
"155","Centro","CS AGRONÔMICA",2,2016,1,2,2,0,0
"156","Centro","CS AGRONÔMICA",2,2016,2,1,1,1,0
"157","Centro","CS AGRONÔMICA",2,2016,3,2,1,2,0
"158","Centro","CS AGRONÔMICA",2,2016,4,3,3,3,2
"159","Centro","CS AGRONÔMICA",2,2016,5,6,6,4,1
"160","Centro","CS AGRONÔMICA",2,2016,7,2,1,1,1
"161","Centro","CS AGRONÔMICA",2,2016,8,2,0,0,0
"162","Centro","CS AGRONÔMICA",2,2016,9,2,2,2,0
"163","Centro","CS AGRONÔMICA",2,2016,10,3,2,2,1
"164","Centro","CS AGRONÔMICA",2,2016,11,2,2,1,1
"165","Centro","CS AGRONÔMICA",2,2016,12,6,5,2,0
"166","Centro","CS AGRONÔMICA",2,2017,1,4,2,1,1
"167","Centro","CS AGRONÔMICA",2,2017,3,6,3,2,1
"168","Centro","CS AGRONÔMICA",2,2017,4,3,1,0,0
"169","Centro","CS AGRONÔMICA",2,2017,5,3,2,1,1
"170","Centro","CS AGRONÔMICA",2,2017,6,4,3,3,2
"171","Centro","CS AGRONÔMICA",2,2017,7,2,2,2,1
"172","Centro","CS AGRONÔMICA",2,2017,8,3,2,2,2
"173","Centro","CS AGRONÔMICA",2,2017,9,3,2,1,0
"174","Centro","CS AGRONÔMICA",2,2017,10,2,2,0,0
"175","Centro","CS AGRONÔMICA",2,2017,11,4,3,3,2
"176","Centro","CS AGRONÔMICA",2,2017,12,3,3,2,1
"177","Centro","CS AGRONÔMICA",3,2013,1,1,0,0,0
"178","Centro","CS AGRONÔMICA",3,2013,2,1,0,1,0
"179","Centro","CS AGRONÔMICA",3,2013,3,1,0,0,0
"180","Centro","CS AGRONÔMICA",3,2013,4,2,1,1,1
"181","Centro","CS AGRONÔMICA",3,2013,5,2,1,1,0
"182","Centro","CS AGRONÔMICA",3,2013,6,4,3,2,1
"183","Centro","CS AGRONÔMICA",3,2013,7,5,3,3,3
"184","Centro","CS AGRONÔMICA",3,2013,8,6,2,2,1
"185","Centro","CS AGRONÔMICA",3,2013,9,1,1,1,1
"186","Centro","CS AGRONÔMICA",3,2013,12,3,2,2,0
"187","Centro","CS AGRONÔMICA",3,2014,2,2,1,1,0
"188","Centro","CS AGRONÔMICA",3,2014,3,3,3,2,0
"189","Centro","CS AGRONÔMICA",3,2014,4,3,2,1,1
"190","Centro","CS AGRONÔMICA",3,2014,5,2,2,2,0
"191","Centro","CS AGRONÔMICA",3,2014,6,1,1,1,1
"192","Centro","CS AGRONÔMICA",3,2014,7,3,0,0,0
"193","Centro","CS AGRONÔMICA",3,2014,8,5,4,5,1
"194","Centro","CS AGRONÔMICA",3,2014,9,2,2,1,0
"195","Centro","CS AGRONÔMICA",3,2014,10,2,0,0,0
"196","Centro","CS AGRONÔMICA",3,2014,11,3,3,1,1
"197","Centro","CS AGRONÔMICA",3,2014,12,3,2,0,1
"198","Centro","CS AGRONÔMICA",3,2015,1,4,2,2,0
"199","Centro","CS AGRONÔMICA",3,2015,2,2,1,1,1
"200","Centro","CS AGRONÔMICA",3,2015,3,2,2,1,1
"201","Centro","CS AGRONÔMICA",3,2015,5,4,3,2,1
"202","Centro","CS AGRONÔMICA",3,2015,7,1,0,0,0
"203","Centro","CS AGRONÔMICA",3,2015,8,2,1,0,0
"204","Centro","CS AGRONÔMICA",3,2015,10,2,2,2,0
"205","Centro","CS AGRONÔMICA",3,2015,11,1,0,0,0
"206","Centro","CS AGRONÔMICA",3,2015,12,2,1,1,0
"207","Centro","CS AGRONÔMICA",3,2016,1,2,2,1,0
"208","Centro","CS AGRONÔMICA",3,2016,2,4,2,3,0
"209","Centro","CS AGRONÔMICA",3,2016,3,6,4,4,2
"210","Centro","CS AGRONÔMICA",3,2016,4,4,2,1,0
"211","Centro","CS AGRONÔMICA",3,2016,5,3,3,2,0
"212","Centro","CS AGRONÔMICA",3,2016,6,5,4,3,2
"213","Centro","CS AGRONÔMICA",3,2016,7,3,2,2,1
"214","Centro","CS AGRONÔMICA",3,2016,8,3,3,2,1
"215","Centro","CS AGRONÔMICA",3,2016,9,3,2,2,0
"216","Centro","CS AGRONÔMICA",3,2016,10,2,2,1,0
"217","Centro","CS AGRONÔMICA",3,2016,11,4,2,1,2
"218","Centro","CS AGRONÔMICA",3,2016,12,1,0,0,0
"219","Centro","CS AGRONÔMICA",3,2017,1,2,1,0,1
"220","Centro","CS AGRONÔMICA",3,2017,2,3,3,3,2
"221","Centro","CS AGRONÔMICA",3,2017,3,4,3,3,0
"222","Centro","CS AGRONÔMICA",3,2017,4,2,2,2,0
"223","Centro","CS AGRONÔMICA",3,2017,5,2,0,0,0
"224","Centro","CS AGRONÔMICA",3,2017,6,2,2,1,0
"225","Centro","CS AGRONÔMICA",3,2017,7,3,3,2,1
"226","Centro","CS AGRONÔMICA",3,2017,8,1,1,0,0
"227","Centro","CS AGRONÔMICA",3,2017,9,2,1,1,0
"228","Centro","CS AGRONÔMICA",3,2017,10,4,3,2,2
"229","Centro","CS AGRONÔMICA",3,2017,11,2,2,2,1
"230","Centro","CS AGRONÔMICA",3,2017,12,2,2,1,0
"231","Centro","CS CENTRO",0,2013,1,4,2,2,0
"232","Centro","CS CENTRO",0,2013,3,3,2,2,0
"233","Centro","CS CENTRO",0,2013,4,4,2,1,1
"234","Centro","CS CENTRO",0,2013,5,4,3,3,2
"235","Centro","CS CENTRO",0,2013,7,1,1,0,0
"236","Centro","CS CENTRO",0,2013,9,4,2,1,0
"237","Centro","CS CENTRO",0,2013,10,2,1,1,0
"238","Centro","CS CENTRO",0,2013,11,1,1,1,1
"239","Centro","CS CENTRO",0,2013,12,2,2,0,0
"240","Centro","CS CENTRO",0,2014,1,4,3,2,1
"241","Centro","CS CENTRO",0,2014,2,1,0,0,0
"242","Centro","CS CENTRO",0,2014,3,1,1,1,0
"243","Centro","CS CENTRO",0,2014,4,3,1,2,0
"244","Centro","CS CENTRO",0,2014,5,2,2,2,1
"245","Centro","CS CENTRO",0,2014,6,4,3,2,1
"246","Centro","CS CENTRO",0,2014,7,2,2,2,0
"247","Centro","CS CENTRO",0,2014,8,2,2,2,0
"248","Centro","CS CENTRO",0,2014,9,2,0,0,0
"249","Centro","CS CENTRO",0,2014,10,1,1,0,0
"250","Centro","CS CENTRO",0,2014,11,1,0,0,0
"251","Centro","CS CENTRO",0,2014,12,2,2,2,1
"252","Centro","CS CENTRO",0,2015,1,1,1,1,1
"253","Centro","CS CENTRO",0,2015,3,3,2,2,0
"254","Centro","CS CENTRO",0,2015,4,1,0,0,0
"255","Centro","CS CENTRO",0,2015,5,2,2,0,0
"256","Centro","CS CENTRO",0,2015,6,2,1,1,0
"257","Centro","CS CENTRO",0,2015,7,3,2,2,0
"258","Centro","CS CENTRO",0,2015,8,1,0,0,0
"259","Centro","CS CENTRO",0,2015,9,2,1,1,1
"260","Centro","CS CENTRO",0,2015,10,4,4,3,1
"261","Centro","CS CENTRO",0,2015,11,2,1,1,0
"262","Centro","CS CENTRO",0,2015,12,1,1,1,1
"263","Centro","CS CENTRO",0,2016,1,1,1,1,1
"264","Centro","CS CENTRO",0,2016,2,1,1,0,0
"265","Centro","CS CENTRO",0,2016,3,1,1,1,0
"266","Centro","CS CENTRO",0,2016,4,1,1,1,0
"267","Centro","CS CENTRO",0,2016,5,2,2,2,0
"268","Centro","CS CENTRO",0,2016,6,2,2,0,0
"269","Centro","CS CENTRO",0,2016,7,1,1,0,0
"270","Centro","CS CENTRO",0,2017,1,2,0,0,0
"271","Centro","CS CENTRO",0,2017,2,3,3,2,1
"272","Centro","CS CENTRO",0,2017,3,3,2,2,0
"273","Centro","CS CENTRO",0,2017,4,4,2,3,1
"274","Centro","CS CENTRO",0,2017,5,7,4,4,1
"275","Centro","CS CENTRO",0,2017,6,6,4,4,2
"276","Centro","CS CENTRO",0,2017,7,1,1,1,0
"277","Centro","CS CENTRO",0,2017,8,1,1,1,0
"278","Centro","CS CENTRO",0,2017,9,1,1,1,1
"279","Centro","CS CENTRO",0,2017,10,2,0,0,1
"280","Centro","CS CENTRO",0,2017,11,1,0,0,0
"281","Centro","CS CENTRO",0,2017,12,1,0,0,0
"282","Centro","CS CENTRO",1,2013,3,3,3,1,1
"283","Centro","CS CENTRO",1,2013,4,1,1,1,0
"284","Centro","CS CENTRO",1,2013,5,2,2,0,0
"285","Centro","CS CENTRO",1,2013,6,1,1,1,0
"286","Centro","CS CENTRO",1,2013,7,1,1,1,0
"287","Centro","CS CENTRO",1,2013,9,1,0,0,0
"288","Centro","CS CENTRO",1,2013,10,1,0,0,0
"289","Centro","CS CENTRO",1,2013,12,1,1,0,0
"290","Centro","CS CENTRO",1,2014,3,1,1,1,0
"291","Centro","CS CENTRO",1,2014,4,1,1,1,1
"292","Centro","CS CENTRO",1,2014,5,1,1,1,0
"293","Centro","CS CENTRO",1,2014,7,1,0,0,0
"294","Centro","CS CENTRO",1,2014,10,1,0,0,1
"295","Centro","CS CENTRO",1,2014,11,1,1,1,0
"296","Centro","CS CENTRO",1,2015,2,1,1,0,0
"297","Centro","CS CENTRO",1,2015,3,1,1,1,1
"298","Centro","CS CENTRO",1,2015,6,1,1,0,0
"299","Centro","CS CENTRO",1,2015,7,1,0,0,0
"300","Centro","CS CENTRO",1,2015,9,2,2,2,1
"301","Centro","CS CENTRO",1,2015,12,1,1,0,0
"302","Centro","CS CENTRO",1,2016,2,1,1,0,0
"303","Centro","CS CENTRO",1,2016,6,2,1,1,0
"304","Centro","CS CENTRO",1,2016,8,1,1,0,0
"305","Centro","CS CENTRO",1,2016,10,1,0,0,0
"306","Centro","CS CENTRO",1,2016,12,2,2,2,0
"307","Centro","CS CENTRO",1,2017,1,1,1,1,0
"308","Centro","CS CENTRO",1,2017,2,1,1,1,1
"309","Centro","CS CENTRO",1,2017,3,3,1,0,1
"310","Centro","CS CENTRO",1,2017,11,1,1,1,0
"311","Centro","CS CENTRO",1,2017,12,1,0,0,0
"312","Centro","CS CENTRO",2,2013,1,2,1,0,0
"313","Centro","CS CENTRO",2,2013,2,2,2,2,0
"314","Centro","CS CENTRO",2,2013,3,2,0,0,0
"315","Centro","CS CENTRO",2,2013,4,1,1,1,1
"316","Centro","CS CENTRO",2,2013,5,2,2,1,1
"317","Centro","CS CENTRO",2,2013,6,1,1,1,0
"318","Centro","CS CENTRO",2,2013,8,2,2,1,0
"319","Centro","CS CENTRO",2,2013,10,1,1,1,0
"320","Centro","CS CENTRO",2,2013,11,1,1,1,0
"321","Centro","CS CENTRO",2,2013,12,1,1,0,0
"322","Centro","CS CENTRO",2,2014,1,2,1,0,0
"323","Centro","CS CENTRO",2,2014,2,1,0,0,0
"324","Centro","CS CENTRO",2,2014,4,3,2,2,0
"325","Centro","CS CENTRO",2,2014,5,3,2,2,0
"326","Centro","CS CENTRO",2,2014,7,2,2,1,0
"327","Centro","CS CENTRO",2,2014,8,3,1,0,0
"328","Centro","CS CENTRO",2,2014,9,2,1,1,0
"329","Centro","CS CENTRO",2,2014,10,1,1,1,0
"330","Centro","CS CENTRO",2,2014,11,3,1,1,0
"331","Centro","CS CENTRO",2,2014,12,2,1,1,0
"332","Centro","CS CENTRO",2,2015,2,1,1,0,0
"333","Centro","CS CENTRO",2,2015,3,1,1,1,0
"334","Centro","CS CENTRO",2,2015,4,1,0,0,0
"335","Centro","CS CENTRO",2,2015,5,2,2,1,0
"336","Centro","CS CENTRO",2,2015,6,1,1,1,0
"337","Centro","CS CENTRO",2,2015,8,1,1,0,1
"338","Centro","CS CENTRO",2,2015,9,5,4,4,1
"339","Centro","CS CENTRO",2,2015,10,1,1,1,0
"340","Centro","CS CENTRO",2,2015,11,2,0,0,0
"341","Centro","CS CENTRO",2,2015,12,2,2,1,0
"342","Centro","CS CENTRO",2,2016,1,1,0,0,0
"343","Centro","CS CENTRO",2,2016,2,3,1,1,0
"344","Centro","CS CENTRO",2,2016,3,2,0,0,0
"345","Centro","CS CENTRO",2,2016,4,2,0,0,0
"346","Centro","CS CENTRO",2,2016,5,3,1,1,0
"347","Centro","CS CENTRO",2,2016,6,1,0,0,0
"348","Centro","CS CENTRO",2,2016,8,2,2,2,0
"349","Centro","CS CENTRO",2,2016,10,1,1,0,0
"350","Centro","CS CENTRO",2,2016,12,2,2,1,0
"351","Centro","CS CENTRO",2,2017,1,1,1,1,0
"352","Centro","CS CENTRO",2,2017,2,4,3,3,1
"353","Centro","CS CENTRO",2,2017,3,1,1,0,0
"354","Centro","CS CENTRO",2,2017,4,1,1,0,0
"355","Centro","CS CENTRO",2,2017,5,1,1,1,0
"356","Centro","CS CENTRO",2,2017,7,3,2,2,0
"357","Centro","CS CENTRO",2,2017,8,1,0,0,0
"358","Centro","CS CENTRO",2,2017,9,1,1,0,0
"359","Centro","CS CENTRO",2,2017,10,2,1,1,0
"360","Centro","CS CENTRO",2,2017,12,5,3,2,1
"361","Centro","CS CÓRREGO GRANDE",0,2013,2,2,2,2,0
"362","Centro","CS CÓRREGO GRANDE",0,2013,3,3,1,1,0
"363","Centro","CS CÓRREGO GRANDE",0,2013,4,1,1,0,1
"364","Centro","CS CÓRREGO GRANDE",0,2013,5,1,1,1,0
"365","Centro","CS CÓRREGO GRANDE",0,2013,6,2,1,0,0
"366","Centro","CS CÓRREGO GRANDE",0,2013,8,1,1,1,0
"367","Centro","CS CÓRREGO GRANDE",0,2013,10,2,1,1,0
"368","Centro","CS CÓRREGO GRANDE",0,2014,1,3,3,3,0
"369","Centro","CS CÓRREGO GRANDE",0,2014,2,1,1,1,0
"370","Centro","CS CÓRREGO GRANDE",0,2014,4,1,0,0,0
"371","Centro","CS CÓRREGO GRANDE",0,2014,5,1,1,1,1
"372","Centro","CS CÓRREGO GRANDE",0,2014,6,2,0,0,1
"373","Centro","CS CÓRREGO GRANDE",0,2014,7,3,2,2,0
"374","Centro","CS CÓRREGO GRANDE",0,2014,8,1,1,1,1
"375","Centro","CS CÓRREGO GRANDE",0,2014,9,1,1,1,0
"376","Centro","CS CÓRREGO GRANDE",0,2014,10,1,0,0,0
"377","Centro","CS CÓRREGO GRANDE",0,2014,12,1,1,1,0
"378","Centro","CS CÓRREGO GRANDE",0,2015,4,2,1,1,0
"379","Centro","CS CÓRREGO GRANDE",0,2015,5,1,1,1,0
"380","Centro","CS CÓRREGO GRANDE",0,2015,6,1,1,1,0
"381","Centro","CS CÓRREGO GRANDE",0,2015,7,2,1,1,0
"382","Centro","CS CÓRREGO GRANDE",0,2015,8,1,1,0,0
"383","Centro","CS CÓRREGO GRANDE",0,2015,10,1,0,0,0
"384","Centro","CS CÓRREGO GRANDE",0,2015,12,1,0,0,0
"385","Centro","CS CÓRREGO GRANDE",0,2016,2,2,2,2,0
"386","Centro","CS CÓRREGO GRANDE",0,2016,3,1,0,0,0
"387","Centro","CS CÓRREGO GRANDE",0,2016,4,3,1,2,0
"388","Centro","CS CÓRREGO GRANDE",0,2016,5,3,2,2,0
"389","Centro","CS CÓRREGO GRANDE",0,2016,6,1,1,1,1
"390","Centro","CS CÓRREGO GRANDE",0,2016,7,3,3,3,1
"391","Centro","CS CÓRREGO GRANDE",0,2016,11,1,1,1,0
"392","Centro","CS CÓRREGO GRANDE",0,2016,12,1,1,1,0
"393","Centro","CS CÓRREGO GRANDE",0,2017,1,5,3,3,1
"394","Centro","CS CÓRREGO GRANDE",0,2017,3,2,0,0,0
"395","Centro","CS CÓRREGO GRANDE",0,2017,4,1,1,1,1
"396","Centro","CS CÓRREGO GRANDE",0,2017,5,1,1,0,0
"397","Centro","CS CÓRREGO GRANDE",0,2017,6,2,0,0,0
"398","Centro","CS CÓRREGO GRANDE",0,2017,7,4,3,3,0
"399","Centro","CS CÓRREGO GRANDE",0,2017,8,4,2,1,2
"400","Centro","CS CÓRREGO GRANDE",0,2017,9,3,2,1,2
"401","Centro","CS CÓRREGO GRANDE",0,2017,10,1,0,0,0
"402","Centro","CS CÓRREGO GRANDE",0,2017,11,2,2,2,0
"403","Centro","CS CÓRREGO GRANDE",0,2017,12,1,0,0,0
"404","Centro","CS CÓRREGO GRANDE",1,2013,2,2,0,1,0
"405","Centro","CS CÓRREGO GRANDE",1,2013,3,1,1,1,0
"406","Centro","CS CÓRREGO GRANDE",1,2013,5,2,2,0,0
"407","Centro","CS CÓRREGO GRANDE",1,2013,8,3,2,0,0
"408","Centro","CS CÓRREGO GRANDE",1,2013,9,1,0,0,0
"409","Centro","CS CÓRREGO GRANDE",1,2013,11,1,1,1,0
"410","Centro","CS CÓRREGO GRANDE",1,2014,2,1,1,1,1
"411","Centro","CS CÓRREGO GRANDE",1,2014,3,1,1,1,0
"412","Centro","CS CÓRREGO GRANDE",1,2014,4,1,0,0,0
"413","Centro","CS CÓRREGO GRANDE",1,2014,5,1,1,0,0
"414","Centro","CS CÓRREGO GRANDE",1,2014,11,2,2,2,0
"415","Centro","CS CÓRREGO GRANDE",1,2015,1,1,1,1,0
"416","Centro","CS CÓRREGO GRANDE",1,2015,2,2,1,1,1
"417","Centro","CS CÓRREGO GRANDE",1,2015,4,1,0,0,0
"418","Centro","CS CÓRREGO GRANDE",1,2015,6,2,2,1,0
"419","Centro","CS CÓRREGO GRANDE",1,2015,7,1,1,1,0
